from,to,relationship
cw,afd,3
rhl,afd,3
rvp,vp,3
mr,mf,1
mf ,mr,1
pw,rvp,2
rvp,pw,2
bmw,afd,3
bmw,qi,3
me,ksk,4
am,nda,3
rvp,nda,3
me,nda,3
pw,nda,3
pw,rvp,2
rvp,pw,2
pw,dvp,3
mf,me,1
me,mf,1
me,qi,3
me,hpr,1
hpr,me,1
pw,me,2
me,pw,2
me,vp,3
tt,hpr,1
hpr,tt,1
rr,rat,3
mf,rat,3
rhl,rat,3
mr,rat,3
tpg,rat,3
mvh,ksk,3
fh,nda,3
mvh,me,2
me,mvh,2
am,ksk,3
